,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
142,"['ALKARAMSTUDIO', 'SAPPHIRE']",['KHAADI'],0.022727273,0.272727273,0.011363636,0.5,1.833333333,0.005165289,1.454545455
143,"['WARDA', 'ALKARAMSTUDIO']",['KHAADI'],0.011363636,0.272727273,0.011363636,1,3.666666667,0.008264463,inf
144,"['ALKARAMSTUDIO', 'KAYSERIA']",['KHAADI'],0.011363636,0.272727273,0.011363636,1,3.666666667,0.008264463,inf
145,"['ASTORE', 'OUTFITTER']",['NIKE'],0.022727273,0.375,0.022727273,1,2.666666667,0.014204545,inf
146,"['ASTORE', 'NIKE']",['OUTFITTER'],0.022727273,0.477272727,0.022727273,1,2.095238095,0.011880165,inf
147,['ASTORE'],"['OUTFITTER', 'NIKE']",0.022727273,0.227272727,0.022727273,1,4.4,0.017561983,inf
148,"['ASTORE', 'NIKE']",['SILKAVENUE'],0.022727273,0.079545455,0.022727273,1,12.57142857,0.020919421,inf
149,"['ASTORE', 'SILKAVENUE']",['NIKE'],0.022727273,0.375,0.022727273,1,2.666666667,0.014204545,inf
150,"['NIKE', 'SILKAVENUE']",['ASTORE'],0.034090909,0.022727273,0.022727273,0.666666667,29.33333333,0.021952479,2.931818182
151,['ASTORE'],"['NIKE', 'SILKAVENUE']",0.022727273,0.034090909,0.022727273,1,29.33333333,0.021952479,inf
152,"['ASTORE', 'NIKE']",['Junaid Jamshad'],0.022727273,0.079545455,0.011363636,0.5,6.285714286,0.009555785,1.840909091
153,"['ASTORE', 'Junaid Jamshad']",['NIKE'],0.011363636,0.375,0.011363636,1,2.666666667,0.007102273,inf
154,['ASTORE'],"['NIKE', 'Junaid Jamshad']",0.022727273,0.068181818,0.011363636,0.5,7.333333333,0.00981405,1.863636364
155,"['ASTORE', 'NIKE']",['SOLOTO'],0.022727273,0.011363636,0.011363636,0.5,44,0.011105372,1.977272727
156,"['ASTORE', 'SOLOTO']",['NIKE'],0.011363636,0.375,0.011363636,1,2.666666667,0.007102273,inf
157,"['NIKE', 'SOLOTO']",['ASTORE'],0.011363636,0.022727273,0.011363636,1,44,0.011105372,inf
158,['ASTORE'],"['NIKE', 'SOLOTO']",0.022727273,0.011363636,0.011363636,0.5,44,0.011105372,1.977272727
159,['SOLOTO'],"['ASTORE', 'NIKE']",0.011363636,0.022727273,0.011363636,1,44,0.011105372,inf
160,"['ASTORE', 'OUTFITTER']",['SILKAVENUE'],0.022727273,0.079545455,0.022727273,1,12.57142857,0.020919421,inf
161,"['ASTORE', 'SILKAVENUE']",['OUTFITTER'],0.022727273,0.477272727,0.022727273,1,2.095238095,0.011880165,inf
162,"['OUTFITTER', 'SILKAVENUE']",['ASTORE'],0.034090909,0.022727273,0.022727273,0.666666667,29.33333333,0.021952479,2.931818182
163,['ASTORE'],"['OUTFITTER', 'SILKAVENUE']",0.022727273,0.034090909,0.022727273,1,29.33333333,0.021952479,inf
164,"['ASTORE', 'OUTFITTER']",['Junaid Jamshad'],0.022727273,0.079545455,0.011363636,0.5,6.285714286,0.009555785,1.840909091
165,"['ASTORE', 'Junaid Jamshad']",['OUTFITTER'],0.011363636,0.477272727,0.011363636,1,2.095238095,0.005940083,inf
166,['ASTORE'],"['OUTFITTER', 'Junaid Jamshad']",0.022727273,0.068181818,0.011363636,0.5,7.333333333,0.00981405,1.863636364
167,"['ASTORE', 'OUTFITTER']",['SOLOTO'],0.022727273,0.011363636,0.011363636,0.5,44,0.011105372,1.977272727
168,"['ASTORE', 'SOLOTO']",['OUTFITTER'],0.011363636,0.477272727,0.011363636,1,2.095238095,0.005940083,inf
169,"['OUTFITTER', 'SOLOTO']",['ASTORE'],0.011363636,0.022727273,0.011363636,1,44,0.011105372,inf
170,['ASTORE'],"['OUTFITTER', 'SOLOTO']",0.022727273,0.011363636,0.011363636,0.5,44,0.011105372,1.977272727
171,['SOLOTO'],"['ASTORE', 'OUTFITTER']",0.011363636,0.022727273,0.011363636,1,44,0.011105372,inf
172,"['ASTORE', 'SILKAVENUE']",['Junaid Jamshad'],0.022727273,0.079545455,0.011363636,0.5,6.285714286,0.009555785,1.840909091
173,"['ASTORE', 'Junaid Jamshad']",['SILKAVENUE'],0.011363636,0.079545455,0.011363636,1,12.57142857,0.010459711,inf
174,"['SILKAVENUE', 'Junaid Jamshad']",['ASTORE'],0.011363636,0.022727273,0.011363636,1,44,0.011105372,inf
175,['ASTORE'],"['SILKAVENUE', 'Junaid Jamshad']",0.022727273,0.011363636,0.011363636,0.5,44,0.011105372,1.977272727
176,"['ASTORE', 'SILKAVENUE']",['SOLOTO'],0.022727273,0.011363636,0.011363636,0.5,44,0.011105372,1.977272727
177,"['ASTORE', 'SOLOTO']",['SILKAVENUE'],0.011363636,0.079545455,0.011363636,1,12.57142857,0.010459711,inf
178,"['SILKAVENUE', 'SOLOTO']",['ASTORE'],0.011363636,0.022727273,0.011363636,1,44,0.011105372,inf
179,['ASTORE'],"['SILKAVENUE', 'SOLOTO']",0.022727273,0.011363636,0.011363636,0.5,44,0.011105372,1.977272727
180,['SOLOTO'],"['ASTORE', 'SILKAVENUE']",0.011363636,0.022727273,0.011363636,1,44,0.011105372,inf
181,"['LIMELIGHT', 'BAREEZE']",['BONANZA'],0.022727273,0.261363636,0.011363636,0.5,1.913043478,0.005423554,1.477272727
182,"['OUTFITTER', 'BAREEZE']",['BONANZA'],0.022727273,0.261363636,0.011363636,0.5,1.913043478,0.005423554,1.477272727
183,"['WARDA', 'BONANZA']",['BAREEZE'],0.022727273,0.113636364,0.011363636,0.5,4.4,0.008780992,1.772727273
184,"['WARDA', 'BAREEZE']",['BONANZA'],0.011363636,0.261363636,0.011363636,1,3.826086957,0.008393595,inf
185,"['BONANZA', 'KAYSERIA']",['BAREEZE'],0.022727273,0.113636364,0.011363636,0.5,4.4,0.008780992,1.772727273
186,"['KAYSERIA', 'BAREEZE']",['BONANZA'],0.011363636,0.261363636,0.011363636,1,3.826086957,0.008393595,inf
187,"['CHENONE', 'BAREEZE']",['BONANZA'],0.034090909,0.261363636,0.022727273,0.666666667,2.550724638,0.013817149,2.215909091
188,"['BONANZA', 'BAREEZE']",['CHENONE'],0.034090909,0.193181818,0.022727273,0.666666667,3.450980392,0.016141529,2.420454545
189,"['BAREEZE', 'KHAADI']",['BONANZA'],0.022727273,0.261363636,0.011363636,0.5,1.913043478,0.005423554,1.477272727
190,"['BAREEZE', 'GULAHMED']",['MARIA.B'],0.034090909,0.136363636,0.022727273,0.666666667,4.888888889,0.018078512,2.590909091
191,"['MARIA.B', 'BAREEZE']",['GULAHMED'],0.034090909,0.193181818,0.022727273,0.666666667,3.450980392,0.016141529,2.420454545
192,"['SAPPHIRE', 'GULAHMED']",['BAREEZE'],0.034090909,0.113636364,0.022727273,0.666666667,5.866666667,0.018853306,2.659090909
193,"['BAREEZE', 'GULAHMED']",['SAPPHIRE'],0.034090909,0.090909091,0.022727273,0.666666667,7.333333333,0.019628099,2.727272727
194,"['BAREEZE', 'SAPPHIRE']",['GULAHMED'],0.034090909,0.193181818,0.022727273,0.666666667,3.450980392,0.016141529,2.420454545
195,"['BEECHTREE', 'GULAHMED']",['BAREEZE'],0.022727273,0.113636364,0.022727273,1,8.8,0.020144628,inf
196,"['BAREEZE', 'GULAHMED']",['BEECHTREE'],0.034090909,0.034090909,0.022727273,0.666666667,19.55555556,0.021565083,2.897727273
197,"['BEECHTREE', 'BAREEZE']",['GULAHMED'],0.022727273,0.193181818,0.022727273,1,5.176470588,0.018336777,inf
198,['BEECHTREE'],"['BAREEZE', 'GULAHMED']",0.034090909,0.034090909,0.022727273,0.666666667,19.55555556,0.021565083,2.897727273
199,"['OUTFITTER', 'BAREEZE']",['HUSHPUPPIES'],0.022727273,0.170454545,0.011363636,0.5,2.933333333,0.007489669,1.659090909
